k_number,sha256,bytes
K013823,545c38b0922de19734fbffde62792c37c2aef6a3216cfa472449173165220f7d,4
K013877,6a3cf5192354f71615ac51034b3e97c20eda99643fcaf5bbe6d41ad59bd12167,3
K013885,d088784b7ecb87f1ea17e6f982fa968ffefcc07b79de6ecc548fc00242868da6,6
K013887,7c370d9536d7d0d6a0f7cd7f9826692acd93e4fb05ba46f7b630b879740343d3,5
K013888,545c38b0922de19734fbffde62792c37c2aef6a3216cfa472449173165220f7d,4
K013890,6a3cf5192354f71615ac51034b3e97c20eda99643fcaf5bbe6d41ad59bd12167,3
K013906,0f760d88e494cfc81f2ab2694a983d0ad63b12844a3b8778857bde1f4abdc76b,9774
K013923,545c38b0922de19734fbffde62792c37c2aef6a3216cfa472449173165220f7d,4
K013935,545c38b0922de19734fbffde62792c37c2aef6a3216cfa472449173165220f7d,4
K013954,545c38b0922de19734fbffde62792c37c2aef6a3216cfa472449173165220f7d,4
K013960,6a3cf5192354f71615ac51034b3e97c20eda99643fcaf5bbe6d41ad59bd12167,3
K013962,f099e607c709d0d4c1de6d1714f5773a2556b8833c4d81efbd357b62718d4ba6,7767
K013966,6a3cf5192354f71615ac51034b3e97c20eda99643fcaf5bbe6d41ad59bd12167,3
K013979,6a3cf5192354f71615ac51034b3e97c20eda99643fcaf5bbe6d41ad59bd12167,3
K013989,6a3cf5192354f71615ac51034b3e97c20eda99643fcaf5bbe6d41ad59bd12167,3
K013991,545c38b0922de19734fbffde62792c37c2aef6a3216cfa472449173165220f7d,4
K014053,6a3cf5192354f71615ac51034b3e97c20eda99643fcaf5bbe6d41ad59bd12167,3
K014070,953d9bc533fb313ff4b6e02ed5b63373c9c3db1738755d9c840fc917788f420c,8504
K014072,545c38b0922de19734fbffde62792c37c2aef6a3216cfa472449173165220f7d,4
K014076,545c38b0922de19734fbffde62792c37c2aef6a3216cfa472449173165220f7d,4
K014090,7c370d9536d7d0d6a0f7cd7f9826692acd93e4fb05ba46f7b630b879740343d3,5
K014107,7c370d9536d7d0d6a0f7cd7f9826692acd93e4fb05ba46f7b630b879740343d3,5
K014137,545c38b0922de19734fbffde62792c37c2aef6a3216cfa472449173165220f7d,4
K014145,545c38b0922de19734fbffde62792c37c2aef6a3216cfa472449173165220f7d,4
K014153,545c38b0922de19734fbffde62792c37c2aef6a3216cfa472449173165220f7d,4
K014155,6a3cf5192354f71615ac51034b3e97c20eda99643fcaf5bbe6d41ad59bd12167,3
K014156,7c370d9536d7d0d6a0f7cd7f9826692acd93e4fb05ba46f7b630b879740343d3,5
K014164,6a3cf5192354f71615ac51034b3e97c20eda99643fcaf5bbe6d41ad59bd12167,3
