device_knumber,predicate_knumber,tier
K200949,K191483,SECTION_HEADED
K201315,K151293,SECTION_HEADED
K201336,K172157,SECTION_HEADED
K201364,K102896,SECTION_HEADED
K201364,K103517,SECTION_HEADED
K201364,K200113,SECTION_HEADED
K201391,K111097,PROXIMITY_ONLY
K201391,K123814,PROXIMITY_ONLY
K201391,K143552,SECTION_HEADED
K201391,K163669,SECTION_HEADED
K201519,K100866,SECTION_HEADED
K201519,K200007,SECTION_HEADED
K201556,K121349,SECTION_HEADED
K201556,K173347,SECTION_HEADED
K201614,K190025,SECTION_HEADED
K201636,K182402,SECTION_HEADED
K201656,K170313,SECTION_HEADED
K201656,K170705,SECTION_HEADED
K201656,K171285,SECTION_HEADED
K201656,K172008,SECTION_HEADED
K201715,K112197,SECTION_HEADED
K201715,K122113,SECTION_HEADED
K202024,K162068,SECTION_HEADED
K202024,K171789,SECTION_HEADED
K202194,K140881,SECTION_HEADED
K202194,K160700,SECTION_HEADED
K202194,K201347,SECTION_HEADED
K202338,K192041,SECTION_HEADED
K202705,K122382,PROXIMITY_ONLY
K202705,K170288,PROXIMITY_ONLY
K202705,K170444,PROXIMITY_ONLY
K202803,K143061,SECTION_HEADED
K202803,K173641,SECTION_HEADED
K203011,K170923,SECTION_HEADED
K203011,K183228,SECTION_HEADED
K203138,K193524,SECTION_HEADED
K203385,K110145,SECTION_HEADED
K203465,K181180,SECTION_HEADED
K203465,K190652,SECTION_HEADED
K203465,K193660,SECTION_HEADED
K203472,K200709,SECTION_HEADED
K203520,K080615,SECTION_HEADED
K203520,K171893,SECTION_HEADED
K203520,K181261,SECTION_HEADED
K203520,K181589,SECTION_HEADED
K203520,K190885,SECTION_HEADED
K203698,K022597,SECTION_HEADED
K203698,K022599,SECTION_HEADED
K203698,K132895,SECTION_HEADED
K203698,K153204,SECTION_HEADED
K203698,K163293,SECTION_HEADED
K210060,K152974,SECTION_HEADED
K210060,K163293,SECTION_HEADED
K210060,K180377,SECTION_HEADED
K210060,K181113,SECTION_HEADED
K210060,K201149,SECTION_HEADED
K210122,K103831,SECTION_HEADED
K210325,K133091,SECTION_HEADED
K210390,K020541,SECTION_HEADED
K210390,K192994,SECTION_HEADED
K210408,K201578,SECTION_HEADED
K210498,K190125,SECTION_HEADED
K210521,K133091,SECTION_HEADED
K210521,K192645,SECTION_HEADED
K210678,K013352,SECTION_HEADED
K210678,K180263,SECTION_HEADED
K210678,K191569,SECTION_HEADED
K210678,K193398,SECTION_HEADED
K210790,K150488,SECTION_HEADED
K210790,K162455,PROXIMITY_ONLY
K210790,K163669,PROXIMITY_ONLY
K210790,K183696,SECTION_HEADED
K210790,K192799,SECTION_HEADED
K210809,K173849,SECTION_HEADED
K210861,K190991,SECTION_HEADED
K210869,K130147,SECTION_HEADED
K211002,K182898,SECTION_HEADED
K211002,K183690,SECTION_HEADED
K211002,K191227,SECTION_HEADED
K211002,K191483,SECTION_HEADED
K211002,K201083,SECTION_HEADED
K211303,K010100,SECTION_HEADED
K211303,K020841,SECTION_HEADED
K211303,K041160,SECTION_HEADED
K211322,K133671,SECTION_HEADED
K211359,K110708,SECTION_HEADED
K211359,K152754,SECTION_HEADED
K211592,K191118,SECTION_HEADED
K211612,K130319,SECTION_HEADED
K211612,K210482,SECTION_HEADED
K211866,K112019,SECTION_HEADED
K211866,K150007,SECTION_HEADED
K211991,K103208,PROXIMITY_ONLY
K211991,K202611,PROXIMITY_ONLY
K212356,K192097,SECTION_HEADED
K212381,K063453,SECTION_HEADED
K212381,K070758,SECTION_HEADED
K212381,K130274,SECTION_HEADED
K212435,K193546,SECTION_HEADED
K212450,K142345,SECTION_HEADED
K212450,K163386,SECTION_HEADED
K212450,K193174,SECTION_HEADED
K212450,K200458,SECTION_HEADED
K212545,K173746,SECTION_HEADED
K212612,K190363,SECTION_HEADED
K212612,K192582,SECTION_HEADED
K212612,K203207,SECTION_HEADED
K212683,K192919,SECTION_HEADED
K212737,K052906,PROXIMITY_ONLY
K212737,K060692,SECTION_HEADED
K212737,K062250,PROXIMITY_ONLY
K212737,K071379,PROXIMITY_ONLY
K212737,K081620,PROXIMITY_ONLY
K212737,K120174,PROXIMITY_ONLY
K212737,K122698,PROXIMITY_ONLY
K212737,K130048,SECTION_HEADED
K212737,K130050,PROXIMITY_ONLY
K212737,K161742,PROXIMITY_ONLY
K212737,K172351,PROXIMITY_ONLY
K212737,K181611,SECTION_HEADED
K212737,K183077,PROXIMITY_ONLY
K212737,K193373,SECTION_HEADED
K212737,K202716,SECTION_HEADED
K212746,K100391,SECTION_HEADED
K212746,K143393,SECTION_HEADED
K212746,K160700,SECTION_HEADED
K212746,K202194,SECTION_HEADED
K212761,K033273,PROXIMITY_ONLY
K212761,K062148,PROXIMITY_ONLY
K212761,K151264,PROXIMITY_ONLY
K212761,K182468,PROXIMITY_ONLY
K212761,K193122,PROXIMITY_ONLY
K212761,K201219,PROXIMITY_ONLY
K212761,K842202,PROXIMITY_ONLY
K212761,K884888,PROXIMITY_ONLY
K212996,K140148,SECTION_HEADED
K212996,K142585,SECTION_HEADED
K212996,K203832,SECTION_HEADED
K213069,K163293,SECTION_HEADED
K213069,K170518,SECTION_HEADED
K213069,K173121,SECTION_HEADED
K213069,K193543,SECTION_HEADED
K213108,K033995,SECTION_HEADED
K213108,K082072,PROXIMITY_ONLY
